uid,review_text,star_rating,binary_label,text_only_prediction,text_only_confidence,metadata_only_prediction,metadata_only_confidence,multimodal_prediction,multimodal_confidence,flag_A_sentiment_vs_label,flag_B_cross_model,flag_C_highconf_contradiction,genuine_conflict,label_noise,sarcasm,mixed_sentiment,unclear,notes
13998,"At 62, my shaving needs are basic, so I have nothing to say about the bikini features, for obvious reasons. I don't particularly care to shave in the shower either. All I want in a shaver is for it to work well for my armpits and legs. I have sensitive skin, so I took a chance on this shaver; it's my first Panasonic, and my last.<br /><br />The reason this gets two stars instead of one is that it does do a good job on my legs, and the shaver holds a charge well, for several shaves. That said, my primary concern is shaving my armpits without irritation, which it does, and without having to keep going over the same area to catch all the hairs, which it doesn't. You would think that with the rotating head that this contour feature would help, but this shaver will not give you a close shave under your arms without several passes. I don't even have thick hair, so if you do, I certainly wouldn't recommend this shaver.",2.0,0,1,0.6118,0,0.6113,1,0.8455,0,1,0,,,,,,
9474,They arrive broken,1.0,0,0,0.9425,1,0.5418,0,0.8689,0,1,0,,,,,,
11100,Turned my finger green... I coated it in clear nail polish and it still turned my finger green..,1.0,0,0,0.9194,0,0.6246,0,0.8648,1,0,0,,,,,,
13836,"This product worked AMAZINGLY...for about 2 weeks. It stopped turning on when I’d push the button and then turn on by itself and randomly go on and off till the battery died. I had to keep it in a separate room overnight because it kept going off. I wish the “lifetime warranty” was legit, but I emailed the company and never got a response back and it’s been a week now, if they do happen to respond I’ll update this post. But luckily I’m still able to return it to amazon so that’s what I’m doing. I wish this stayed working for me cuz it honestly is so so good but I’m afraid I’ll get another default brush if I reorder this one. THE LIFETIME WARRANTY ISNT LEGIT. I mostly made my decision based on that.",1.0,0,0,0.8553,1,0.7072,0,0.8928,0,1,0,,,,,,
17585,Doesn't whiten<br />Expensive product that doesn't work,2.0,0,0,0.9633,1,0.6232,0,0.9907,0,1,0,,,,,,
716,It was hard to put lotion in these and they leak on the flight. The top of one did not want to stay on and it was the one that didn’t leak. It was one of the other that had the top secure. Also two of them the top would not snap on to close it.,1.0,0,0,0.9485,1,0.5668,0,0.9381,0,1,0,,,,,,
1096,"Awful design, uncomfortable to hold and use. Would not recommend to ANYONE!",1.0,0,0,0.8675,1,0.6355,0,0.9475,0,1,0,,,,,,
15800,"My favorite lip balm! It’s smooth going on and it doesn’t make me have to keep reapplying. Usually only use one a day if that! And I have dry lips a lot, gone through so many other brands and this on is my favorite. I also love how the ingredients are so simple. Less is definitely more!",5.0,1,1,0.9842,0,0.6026,1,0.9967,0,1,0,,,,,,
10669,"I love highlights, but after a few weeks they have become yellowish. This product works perfectly to keep my highlights white. Recommend it for semi-weekly use",5.0,1,1,0.8662,0,0.6451,1,0.8828,0,1,0,,,,,,
11102,"Stays great. Fabric is a bit itchy even after washing, but still more comfortable than a plastic pillow.",5.0,1,1,0.9203,0,0.5235,1,0.9253,0,1,0,,,,,,
12396,I’m very happy with this. It takes all the dust,5.0,1,1,0.995,0,0.5472,1,0.9945,0,1,0,,,,,,
16404,"I used it twice, my hair is better now and the smell is great.<br />Very good product.",5.0,1,1,0.6436,0,0.5218,1,0.7111,0,1,0,,,,,,
16798,Good product - my hairdresser suggested this one - it is the one he uses.,5.0,1,1,0.9698,0,0.5464,1,0.9983,0,1,0,,,,,,
1588,Too flimsy for me,2.0,0,0,0.9368,1,0.5543,0,0.9855,0,1,0,,,,,,
16753,Great product for my back,5.0,1,1,0.9821,0,0.6526,1,0.9984,0,1,0,,,,,,
9008,"Seen a healthier improvement within the first week, definitely use with moisturizer due to the sheerness left on your skin when using it alone. Will buy again.",4.0,1,1,0.9688,0,0.5433,1,0.8869,0,1,0,,,,,,
16015,I love this product and the cost,5.0,1,1,0.9729,0,0.698,1,0.9959,0,1,0,,,,,,
12013,"Heavy, too hot, all round waste of money.",2.0,0,0,0.9667,1,0.5233,0,0.9841,0,1,0,,,,,,
8186,"The quality is good, they are sturdy and the amount of clips you get for the price is pretty good, BUT, the clips have teeth on both the top and bottom of the clip. The top is perfect, no issue, but having teeth on the bottom arm makes it next to impossible to slip into your hair to hold it in place while styling. Not practical. Gave to my daughter as a gift, too late to return. Very disappointed. I should have paid closer attention to the photos.",1.0,0,1,0.6972,0,0.6437,1,0.6606,1,1,0,,,,,,
18784,Love the palette and the brand buuut.... THIS is how it was delivered yesterday!! Super sad about this as that was one of the main colors I ordered it for. 🙄🥺😩😤🤯😡🤬😭 which is why I rated it with only 2 stars.,2.0,0,1,0.815,0,0.691,1,0.7448,0,1,0,,,,,,
14273,This product did not perform as expected. There was no magnetic adhesion as advertised. Eyelash strips did not stay any better than with a regular glue.,2.0,0,0,0.8562,1,0.5192,0,0.9268,0,1,0,,,,,,
3220,"Way too soft. Way too small. I read other reviews stating this but still thought it would be ok for my needs. Nope! I regret buying this baby brush.<br /> If you’re buying for a kid &lt;10, then it will be great. Quality seems good enough and not much shedding.",2.0,0,1,0.55,0,0.5057,1,0.6636,1,1,0,,,,,,
6230,Looks terrible. Threw it away,1.0,0,0,0.9942,1,0.5397,0,0.9987,0,1,0,,,,,,
14142,Cute and works well. It comes with a plastic cover to protect the brush too.,5.0,1,1,0.9225,0,0.6251,1,0.9946,0,1,0,,,,,,
13191,I am in love with this nail file ... i have been going in for years to get my nails done and decided to try to do them myself snd this is the perfect nail file. It has so much power and the charge lasts a long time. I have bought many in the past and This one is better than what you see in the nail salons,5.0,1,1,0.8188,0,0.6045,1,0.9761,0,1,0,,,,,,
16399,Love this stuff!!!! For a aging redhead it helps my color stay dark and not lightning.,5.0,1,1,0.9498,0,0.5574,1,0.9925,0,1,0,,,,,,
12073,"I didn't receive the one in the picture, instead I received a regular plastic apron and it can't hold hair at all.",1.0,0,0,0.931,1,0.5489,0,0.9814,0,1,0,,,,,,
10995,Cute style and seemed great for the price/product.<br /><br />These tips do not respond to adhesive. I tried three different nail glues. Ended up needing to sculpt nail or use other tips and shave/manipulate as necessary.<br /><br />Would not recommend or purchase again.,1.0,0,1,0.5492,0,0.6444,1,0.6269,0,1,0,,,,,,
5865,This is the best facial cleanser I have ever used. You only need a small amount to cleanse and easily wastes off. Perfect for those of us with dry skin.,5.0,1,1,0.904,1,0.5075,1,0.971,1,0,0,,,,,,
16079,"This was not an expensive item and I probably should have known it would be below par, but I ordered it anyway. It took weeks to be delivered, again, I should have looked to see where the seller was located....China!<br />It arrived, I opened it and it was &#34;thick & clumpy&#34;. I read the box, it said to shake contents before using, so I did for a few minutes and then applied it.<br />It was like applying paste, which is apparently what &#34;waterproof&#34; means to the seller. It felt sticky. When I put food in my mouth, the food stuck to it. When I closed my mouth, my lips stuck together! I couldn't remove it without 3 applications of baby oil. I threw it away before it made me break out in hives or worse.<br />My advice, go to a reputable store in your area to buy anything you apply to your face, before purchasing this. Inexpensive does not always mean a great deal on a great product.",1.0,0,0,0.9366,1,0.5494,0,0.9931,0,1,0,,,,,,
5642,This was not as stated on commercial. It was a waste of money and not as good as what you can buy at the grocery store. It is false advertisement! Don't be fooled!,1.0,0,0,0.9644,1,0.502,0,0.9626,0,1,0,,,,,,
10914,The cats are kind of like “hmmm what is this”. Useless,1.0,0,0,0.8747,1,0.5004,0,0.9621,0,1,0,,,,,,
11685,"It has auto-on to cure for 120 seconds, or you can set a time for less than that. I havent had any problems using this for my personal manicures. The bottom easily comes away from the top to clean.",5.0,1,1,0.7442,0,0.5339,1,0.7353,1,1,0,,,,,,
749,"I purchased this hair back in August, had it sewn in for 3 months, and just recently took it out. I love Peruvian hair, its always been much easier to manage then Indian or Brazilian.<br /><br />For the first month, the hair was fine, but by month 2 it was shedding each time I brushed it. It tangled VERY easily, especially after being wet, even with a leave-in conditioner. I use quality styling products, nothing really worked to keep it tangle free and luxrious. It was truly a disappointment. Sorry to say I won't purchase hair from HC again.",1.0,0,0,0.7818,1,0.6227,0,0.5812,1,1,0,,,,,,
12596,Nice brush for the low price,5.0,1,1,0.9298,0,0.5835,1,0.9849,0,1,0,,,,,,
4262,I tested both sizes and they pick up the acrylic beautifully. Once I tested them I was able to easily form the tip to a point before placing them back in their container. The wood handle was a dream to hold in my hand. I liked the nail tool as well...awesome sauce!,5.0,1,1,0.6583,0,0.593,1,0.6501,0,1,0,,,,,,
17512,Really small but I love it,5.0,1,1,0.9467,0,0.6026,1,0.942,0,1,0,,,,,,
3963,Lo mejor,5.0,1,0,0.9053,0,0.5188,0,0.8897,0,0,1,,,,,,
4046,Cómodas,5.0,1,0,0.5316,1,0.5621,0,0.9224,1,1,0,,,,,,
17180,The odor was so strong I got an immediate migraine. Three hot showers barely erased the smell.,1.0,0,0,0.9664,1,0.6426,0,0.9094,0,1,0,,,,,,
14941,"I love this silicone back scrubber because it is more convenient to use than my back brush. I have a long handled brush but sometimes it's difficult to reach where I want because of a shoulder injury. I'm a senior with quite a few molds on my back so this silicone scrubber is so much softer rubbing across those areas, I don't have to worry about irritating the molds. It also stretches to a point that is comfortable to use and a good exfoliater as well. I recommend it and would give it as a gift.",5.0,1,1,0.8705,1,0.5644,1,0.9036,1,0,0,,,,,,
2800,"I have really really dry hair, and this product made my hair stringy and gross. It didn’t lather up AT ALL like all of my other hair care solid bars.",1.0,0,0,0.6386,1,0.5167,0,0.5652,0,1,0,,,,,,
3581,Love it,1.0,0,1,0.9942,1,0.6923,1,0.9999,1,0,1,,,,,,
575,"I loooooove the Japanese mascara but Fairy Drops is my favorite because it goes on really dark and black. I have minuscule eyelashes, so this mascara almost makes me feel like I'm wearing fake eyelashes. It goes on a little clumpy which I love because again it makes big black eyelashes which is my style... It even makes it look like I use eyeliner on my bottom lids saving time!<br /><br />The thing that makes this stuff so incredible is that my eyes water, I rub my eyes, I yawn which makes me cry a little during the day. With all other mascara within about two hours into the day I look like a raccoon. This mascara stays on all day and if it does come off, it comes off in microscopic balls or flakes that I just wipe away with my finger unlike other mascara that I have to scrub with a soap covered tissue to get out from under my eyes. It's easy to remove without eye makeup remover too.<br /><br />I love that they ship this from Japan so it's fresh and Prime shipping??? I can't believe it. Because of the shipping from Japan--come on don't get mad if you can't get it in two days! Amazon has us too spoiled... Oh and in my lifetime I've probably tried over 50 mascara so trying to find the perfect one and this is it.",5.0,1,1,0.813,1,0.6961,1,0.9595,1,0,0,,,,,,
2130,Cheap. One of the earings wouldn't close. Much smaller than I thought they would be.,1.0,0,0,0.9434,1,0.5035,0,0.9877,0,1,0,,,,,,
6999,"My nails were very cute and it was easy to use, will be buying more poly gel colors.",5.0,1,1,0.877,0,0.5181,1,0.9802,0,1,0,,,,,,
1003,"Gave them to a friend as a gift, she loves them.",5.0,1,1,0.9772,0,0.5508,1,0.9935,0,1,0,,,,,,
2966,"This electric nail drill/file is very durable and easy to use. I only wish the cord was a little longer. The drawstring bag (included) makes it easy to store. Overall, I'm very pleased with this kit and I recommend it.",4.0,1,1,0.9467,0,0.6088,1,0.9705,0,1,0,,,,,,
9632,"I have purchased these polishs for years now. Definitely helps with nail fungus. This was my first purchase of ""hopeful pink"". The color is lovely, but I now have 3 coats on, have to redo one really bad nail and toes surely don't look as nice as the reds or deep corals. I have fungus showing on most every toe..I wouldn't reccomend unless your toenails are in really good shape. Bummer",2.0,0,1,0.6197,0,0.522,1,0.7403,0,1,0,,,,,,
19924,I like the scent of some off them much.<br />The simples are very little and some bottle even less just A couple off drops.,4.0,1,1,0.9017,0,0.6838,1,0.9448,1,1,0,,,,,,
10522,"I was hoping to enjoy the fresh scent of violets but this gel is unusually strong and gave me a headache. I diluted it with a non scented bath gel and and it's OK now, but not what I thought it would be.",2.0,0,0,0.5589,1,0.7385,0,0.9121,1,1,0,,,,,,
3460,The quality is very sheer and thin,1.0,0,1,0.5864,0,0.5757,0,0.7505,0,1,0,,,,,,
8188,I purchased this as a gift for my boyfriend. I received the tea tree oil scent and it’s very pleasant and attractive smelling. My boyfriend has a thick beard and it made of feel soft and the brush is fantastic! It grooms him very well. A must have for all men who are looking to impress that special someone!,5.0,1,1,0.9666,0,0.551,1,0.9811,0,1,0,,,,,,
543,Worked ok on algae. Needed some scrubbing,4.0,1,0,0.7206,0,0.5416,0,0.6396,1,0,0,,,,,,
6016,Got it for my 4-year old's dance performance. And it looked so real : ) she jumped and danced away... And it stayed in place the whole time!... Loved it!,5.0,1,1,0.8409,0,0.614,1,0.9792,0,1,0,,,,,,
3117,"The fibers on the brushes are very coarse and it is difficult to make fine strokes with them. Poor quality product, not recommended.",1.0,0,0,0.8344,1,0.5071,0,0.8504,0,1,0,,,,,,
12043,Very beautiful. Daughter loved them,5.0,1,1,0.9889,0,0.7585,1,0.9978,0,1,0,,,,,,
13380,"Bubble and peel instantly, even with a top coat.",1.0,0,0,0.7703,0,0.6337,0,0.8664,1,0,0,,,,,,
2269,Does not cover your nose.,1.0,0,0,0.9801,1,0.5115,0,0.9851,0,1,0,,,,,,
15134,Dried up,1.0,0,0,0.9587,1,0.7855,0,0.9968,0,1,0,,,,,,
14891,Bought it for my brother. First night applied on his feet. He said he slept through the night. He couldn't believe how well it worked. No pain!,5.0,1,1,0.5264,0,0.683,1,0.6213,1,1,0,,,,,,
15164,Ik,2.0,0,1,0.6511,1,0.9627,1,0.7311,1,0,0,,,,,,
12614,"Boostlash was a total waste of money. I tried it twice daily for 2 1/2 months. I did it only on one eye, top and bottom so I could see how well it worked. There was NO difference whatsoever. Both eyes where exactly the same. I would not even give it one star.",1.0,0,0,0.8682,1,0.6507,0,0.8895,0,1,0,,,,,,
5760,I loved the way this was packaged and it is user friendly. Great great great product.,5.0,1,1,0.9287,0,0.628,1,0.9773,0,1,0,,,,,,
207,The locs came in one bag but elasticed together in &#34;packs&#34;. They were super soft and had no smell at all.<br /><br />Easy install but I will say you have to be a little careful looping them. The loop hole was tiny and kind of hard to open for most.<br /><br />I have a very tiny head and used every single loc so if you have an above average head or want fullness I'd buy more.,5.0,1,0,0.8623,0,0.5974,0,0.7417,1,0,0,,,,,,
2163,This stuff is horrible. Waste of money. Ink doesn't stick in like it would real skin so it was impossible to practice. Do not buy. Not worth it. Use an orange if anything instead of spending money on this creepy practice skin.,1.0,0,0,0.9122,1,0.611,0,0.9647,0,1,0,,,,,,
11652,"Love California Tan but tried this by suggestion of my tanning salon as a replacement for the now discontinued Expose Luxe body lotion. Not even close, unfortunately. Not as thick and doesn't last. The smell of this lotion is also not very pleasing with more of a tanning lotion smell rather than a daily lotion for moisturizing and tan extension.",2.0,0,1,0.6828,0,0.5515,1,0.746,0,1,0,,,,,,
11988,I had ankle surgery months ago and have begun water aerobics....need some support..bought this product and it has helped my exercise in the pool!!!,5.0,1,1,0.7693,1,0.589,1,0.8459,1,0,0,,,,,,
10401,"i bought this twice,came with BROKEN EVERYTIME!!soooo disappoint!!",1.0,0,0,0.8613,1,0.6124,0,0.9248,0,1,0,,,,,,
1451,"I was really excited to get this trimmer. I had an older model that my son took to college and I was looking a bit scruffy. The first time I set it to ""4"". I was used pushing down hard to get an even trim with my old one. Well with this new one I pushed so hard that the trimmer length setting was reduced. I didn't realize what was happening until it was all the way down to ""1"". I wound up shaving it off. I regrew my facial hair and haven't had any problems since. I just don't push as hard and I make sure it is firmly set on the length I want. BTW: the vacuum feature works great.",4.0,1,0,0.7253,1,0.6602,0,0.8736,1,1,0,,,,,,
6056,"Quality little bottles, secure screw-on lids, packages compactly and safely, and the labels are a very nice touch! Just the right size for making a batch of homemade vanilla to give as holiday gifts. (The droppers were unnecessary and I'm not sure what they were for—I donated them to my son's preschool for watercolor play.)",5.0,1,1,0.9893,0,0.6164,1,0.9978,0,1,0,,,,,,
12511,"Great fabric, but too short and tight and doesn't stay on.",2.0,0,0,0.5879,1,0.5629,1,0.5785,0,1,0,,,,,,
14097,This charger does NOT fit a Philips Norelco Model A00390. Money wasted.,1.0,0,0,0.6272,1,0.5676,0,0.5677,0,1,0,,,,,,
18601,It doesn’t work,1.0,0,0,0.9934,1,0.6128,0,0.9928,0,1,0,,,,,,
12005,This is really great hair I’ve had it in for about 2 weeks now and it still looks amazing 😍,5.0,1,1,0.9781,0,0.5613,1,0.9915,0,1,0,,,,,,
6700,These Oral-B humming Bird pick refills are imposible to find in the local retail stores and are the exact product.,5.0,1,1,0.7965,1,0.9132,1,0.9923,1,0,0,,,,,,
2374,These hair bands were great. I gave my niece two and kept two for myself. They worked for both of us. I thought they were decent quality for the price.,4.0,1,1,0.8376,0,0.672,1,0.9378,0,1,0,,,,,,
2715,"I find these Oral B Brush-ups most conveinent! I take them everywhere with me and use them whenever I eat out, or travel and can't brush my teeth. I hope they continue to make them.",5.0,1,1,0.7805,1,0.6356,1,0.9777,1,0,0,,,,,,
96,*professional product*<br />These are great! They leave the strip with no residual. It's hard to make the fan without glue but with some practice they make beautiful fans.<br />I have also purchased their easy fans and i hated them. They left a lot of glue residual from the strip. Save yourself some frustration and get these and just practice practice practice,5.0,1,1,0.6562,0,0.562,1,0.7081,0,1,0,,,,,,
5476,Have about 3-4 units in closet not using the shaver right now,4.0,1,0,0.5551,0,0.6446,0,0.6874,1,0,0,,,,,,
12021,Rhebhair is beautiful and very soft.<br />I ordered 14 inch. It was to my shoulders in front BUT back was 14 inches felt more like 12.,2.0,0,1,0.8753,0,0.6282,1,0.9735,1,1,0,,,,,,
19934,"I've been using this for about 5-6 months and I am halfway through the bottle. I wash my hair everyday so I alternate with another shampoo but I honestly prefer this shampoo. I love the tingly feel it gives and I hope that helps in dilating the blood vessels of the hair follicles. I leave it on for a few minutes before washing it out. The only bad thing is that the formula is pretty watery and doesn't lather very well. However, the ingredients are great.",5.0,1,1,0.9256,0,0.5989,1,0.9611,0,1,0,,,,,,
14321,Taste like crap,1.0,0,0,0.8966,1,0.6485,0,0.9076,0,1,0,,,,,,
19983,Can not find the exact ones again I love them,4.0,1,1,0.8247,0,0.7313,1,0.984,0,1,0,,,,,,
10824,"I saw the reviews here saying that the eyelash curler didn't work, but I figured they just didn't know how to use one, but really, it doesn't work. I do like the tweezers for applying false lashes. They are flat and not pointy, so you can put it right up to your eye without pinching -- but you are better off just buying the tweezers without the curler.",2.0,0,0,0.6578,0,0.5044,0,0.9435,1,0,0,,,,,,
7483,"11-2-22<br />I like the magnificent colors of these temporary tattoos! I really like the the x-ray feature, since I don't want tattoos which are super obvious from a distance. I use two at a time to cover an ugly dog bite scar on my arm. They go on extremely easy.<br />(I will update review when I know how many days they last and how easily these remove.)",5.0,1,1,0.7732,0,0.6904,1,0.966,0,1,0,,,,,,
16486,Very soft!,5.0,1,1,0.9561,0,0.5306,1,0.9916,0,1,0,,,,,,
15809,"100% does NOT hold mask in place. While it is bendable, it does not conform around your head. As such, if you are using inner hooks, the outside portion sticks out away from your head. It is also very slippery and slips down to the base of the skull on all hook combinations, causing the mask to be loose at best and pull down from the nose at worst. If one side of the plastic had a non-slip coating, this might help. It arroyo cost more but be worth the price. This ONLY helped with a friend who had a pony tail that the strap went above and kept from slipping.",1.0,0,0,0.6789,1,0.6585,0,0.7451,0,1,0,,,,,,
17276,Should have listened to the reviews...dont fit...too short.,2.0,0,0,0.9662,1,0.6852,0,0.9733,0,1,0,,,,,,
6267,"I was very excited to order my very first poly gel nail set ! Once receiving my order I inspected it to make sure everything came with then , once setting up my supplies I grabbed up my instructions and followed all of the necessary steps . The finished product was not a success for me the poly gel just wasn’t thick enough over my nails nor did it mold well for me .",1.0,0,1,0.5054,0,0.7638,0,0.537,0,1,0,,,,,,
16734,Good into but breaks easy.,2.0,0,1,0.8287,0,0.5069,1,0.5915,1,1,0,,,,,,
17480,"This eyebrow filler is so amazing! No pressure is needed when filling in brows because it's so creamy it literally melts on the skin! It's also very pigmented, which is perfect for me and my brown hair color. LOVED IT",5.0,1,1,0.8925,0,0.6228,1,0.9617,0,1,0,,,,,,
14468,"I love this hair! I will be ordering again. I only used 4 bags which was perfect because I was able to have extra hair to touch up the front whenever it started to get a little old looking. I kept it in for a month but sure it could've lasted a couple more weeks, was just ready for a good wash. It's not itchy unless you don't have a shirt on then it can be a little itchy on the back.",5.0,1,1,0.634,0,0.5474,1,0.8851,0,1,0,,,,,,
4599,This has helped my dry skin a lot.,5.0,1,1,0.9413,0,0.6838,1,0.9977,0,1,0,,,,,,
15844,"i love it so much i had been blessed to buy more. ...great moisture, keep hair strong and healthy as well as scalp.",5.0,1,1,0.9903,0,0.5139,1,0.9939,0,1,0,,,,,,
6133,Don't waste your money buying this product. It is completely useless cream,1.0,0,0,0.8928,1,0.8362,0,0.9625,0,1,0,,,,,,
13064,Really great for getting undercoat shed! Worked on my Aussie like a charm! Could have made a sweater lol,5.0,1,1,0.8249,0,0.5534,1,0.8261,0,1,0,,,,,,
4986,This hairs is soooo soft! Good quality! I bought 1 set of 8 packs which covered my whole head. The braids come down to my lower back after my braiding lady stretched it a bit. I frequently have started buying my braiding hair on amazon and this hair is some of the softest out there no joke! I get a bunch of compliments on my hair every day.,5.0,1,1,0.8764,0,0.6173,1,0.9738,0,1,0,,,,,,
8848,The nail polish it comes with is not applicable at all and doesn’t cure right,1.0,0,0,0.9755,1,0.5075,0,0.9937,0,1,0,,,,,,
675,Over all the brushes are quite nice.They have a angled brush in this set it helps blend your eyeshadow very well and I love it.But I was disappointed in one of the brushes I was looking forward to witch was the biggest one it's a flat brush not very big.,4.0,1,1,0.9246,1,0.5531,1,0.9378,1,0,0,,,,,,
14728,I love this hair. I was able to reuse it.,4.0,1,1,0.9277,0,0.6086,1,0.9819,0,1,0,,,,,,
2173,"Gross, I had made my own tooth powder in past, so I thought I would try. This is a mix of peppermint and some fragrance like a lavender, did not like it at all, too perfumey and hard to get out of bottle and on brush without getting everywhere and loosing powder, too narrow to dip brush in too.",1.0,0,0,0.9138,1,0.6126,0,0.9197,0,1,0,,,,,,
3188,Did not work.....,1.0,0,0,0.9978,1,0.7569,0,0.9974,0,1,0,,,,,,
9414,"[[ASIN:B011JG1K3E Eyelash Growth Serum for Long Eyelashes From Uptown Cosmeceuticals Contains Stem Cell & Myristoyl Pentapeptide-17, Dermatologist Lab Tested Lash & Eyebrow Growth Formula, 4 Months Supply, 3.5ml]]<br /><br />Are you worried about your thin eyelashes or scanty growth? Well, you are not the only one. Many people want thicker eyelashes. They make a person’s eyes look even more beautiful and attractive.<br /><br />This Uptown Eyelash Growth serum was very easy to use. All you need is one simply stroke of the serum once a day across the bass of your up eye lid. The brush is very thin and easy to use. I was so glad it didn't burn or irritate my eyes. You get a little nerves using new products so close to a very important part of your sight. There was no funny smells or sticky residue. It suggested to apply with no make up on your lashes, for it to be effective. I only were makeup on special occasion so that wasn't a big deal.<br /><br />As you see below at my before and after pictures. These pictures were taken in 10 days of everyday use, which it suggest 2 to 6 weeks to see a difference . Personally I look at my lashes everyday and I didn't see a different in growth but a young lady that noticed my before and after stated they were thicker. You also must understand everyone will have different results. Someone else may use it and lash grow a inch and like mine a noticeable different in thickness. So with that being said I will continue use the serum for the next 30 days and update with pictures. Excited to see the results.<br /><br />I received a discount on the growth serum for an honest and unbiased opinion based on my experience with this product. If you have any questions please feel free to ask, I will be happy to help.",5.0,1,0,0.532,1,0.9327,1,0.92,1,1,0,,,,,,
8648,Hair felt like sympathetic hair or doll hair. Sent the hair right back.,1.0,0,0,0.8427,0,0.5276,0,0.8895,1,0,0,,,,,,
7533,Suck,1.0,0,0,0.9835,1,0.8687,0,0.9799,0,1,0,,,,,,
1933,Very disappointed. Poorly made not even worth $34.99. Only 2 uses and the coating on the &#34;teeth&#34; already peeling. Of course this happened just as my 30 day return window expired.,1.0,0,0,0.9878,1,0.7822,0,0.9923,0,1,0,,,,,,
6226,Not worth it,2.0,0,0,0.9959,1,0.6422,0,0.9938,0,1,0,,,,,,
17627,"The eyeliner was almost completely dry and the lashes didn’t magnetize to it very well. I had so much hope for this, but was sadly super disappointed.",1.0,0,0,0.9,1,0.5552,0,0.9884,0,1,0,,,,,,
